Date,Clicks,Impressions,CTR,Position
2026-05-01,0,32,0%,21.3
2026-05-02,0,27,0%,14.3
2026-05-03,0,33,0%,10.2
2026-05-04,0,33,0%,12.7
2026-05-05,0,29,0%,21.1
2026-05-06,0,21,0%,13.5
2026-05-07,1,31,3.23%,12.8
2026-05-08,0,26,0%,21.7
2026-05-09,2,48,4.17%,10.5
2026-05-10,0,45,0%,13.8
2026-05-11,0,46,0%,15.7
2026-05-12,1,33,3.03%,10
2026-05-13,0,31,0%,11
2026-05-14,0,52,0%,20.6
2026-05-15,0,56,0%,22.9
2026-05-16,0,36,0%,15.8
2026-05-17,1,48,2.08%,10.1
2026-05-18,0,48,0%,13.1
2026-05-19,1,51,1.96%,19.8
2026-05-20,0,44,0%,19.2
2026-05-21,0,55,0%,27.3
2026-05-22,2,32,6.25%,17.7
2026-05-23,0,44,0%,10.2
2026-05-24,0,33,0%,13.4
2026-05-25,1,45,2.22%,10.8
2026-05-26,0,29,0%,12
2026-05-27,0,29,0%,8.3
2026-05-28,0,50,0%,14.1
2026-05-29,0,42,0%,41.3
2026-05-30,0,29,0%,22.4
2026-05-31,1,44,2.27%,18.4
2026-06-01,0,18,0%,17.4
2026-06-02,2,28,7.14%,9.8
2026-06-03,2,41,4.88%,10.9
2026-06-04,1,57,1.75%,42.1
2026-06-05,0,44,0%,19.1
2026-06-06,0,38,0%,11.3
2026-06-07,2,49,4.08%,8.5
2026-06-08,0,43,0%,15.9
2026-06-09,0,23,0%,10.3
2026-06-10,1,26,3.85%,10.8
2026-06-11,0,53,0%,48.6
2026-06-12,0,31,0%,21
2026-06-13,0,28,0%,15.7
2026-06-14,0,23,0%,20.4
2026-06-15,0,20,0%,9
2026-06-16,1,49,2.04%,12.9
2026-06-17,0,35,0%,19.1
2026-06-18,1,62,1.61%,21.1
2026-06-19,1,89,1.12%,33.9
2026-06-20,0,69,0%,21.8
2026-06-21,0,49,0%,22.7
2026-06-22,1,58,1.72%,14.8
2026-06-23,0,30,0%,12.8
2026-06-24,0,41,0%,8.3
2026-06-25,1,86,1.16%,37.2
2026-06-26,1,61,1.64%,22.8
2026-06-27,0,39,0%,11.6
2026-06-28,1,36,2.78%,7.7
2026-06-29,0,54,0%,12.2
2026-06-30,0,50,0%,12.3
2026-07-01,0,44,0%,14.5
2026-07-02,3,60,5%,27.2
2026-07-03,0,60,0%,22
2026-07-04,1,40,2.5%,6.5
2026-07-05,0,43,0%,15.1
2026-07-06,0,72,0%,26.7
2026-07-07,0,38,0%,14.6
2026-07-08,0,41,0%,10.3
2026-07-09,0,78,0%,31.9
2026-07-10,0,65,0%,22.2
2026-07-11,1,42,2.38%,13
2026-07-12,1,35,2.86%,12.8
2026-07-13,1,50,2%,18
2026-07-14,0,19,0%,16.3
2026-07-15,1,43,2.33%,13
2026-07-16,0,59,0%,29.2
2026-07-17,1,55,1.82%,24.6
2026-07-18,1,74,1.35%,23.4
2026-07-19,0,42,0%,8.6
2026-07-20,1,57,1.75%,13.4
2026-07-21,0,53,0%,11.1
2026-07-22,0,55,0%,20.1
2026-07-23,1,106,0.94%,29.9
2026-07-24,0,84,0%,22.5
2026-07-25,0,63,0%,16.5
2026-07-26,0,41,0%,20.7
2026-07-27,1,43,2.33%,15.8
2026-07-28,1,79,1.27%,15.4
2026-07-29,0,62,0%,17.2
2026-07-30,0,77,0%,30.7
2026-07-31,2,73,2.74%,28.3
2026-08-01,1,49,2.04%,18.9
2026-08-02,0,42,0%,10.8
2026-08-03,0,42,0%,14.2
2026-08-04,3,46,6.52%,9.9
2026-08-05,0,28,0%,21.4
2026-08-06,0,49,0%,41.2
2026-08-07,0,30,0%,40.8
2026-08-08,0,65,0%,32.2
2026-08-09,1,45,2.22%,12.9
2026-08-10,0,41,0%,11.9
2026-08-11,0,44,0%,10
2026-08-12,1,46,2.17%,9.6
2026-08-13,0,70,0%,30.5
2026-08-14,1,51,1.96%,31.8
2026-08-15,0,65,0%,13.8
2026-08-16,2,58,3.45%,14.3
2026-08-17,0,47,0%,16.7
2026-08-18,0,45,0%,8.5
2026-08-19,1,72,1.39%,12.3
2026-08-20,2,44,4.55%,11.4
2026-08-21,0,67,0%,28.7
2026-08-22,1,56,1.79%,10.9
2026-08-23,0,48,0%,18
2026-08-24,1,49,2.04%,22.5
