Date,Clicks,Impressions,CTR,Position
2026-05-01,0,10,0%,30.3
2026-05-02,0,2,0%,55.5
2026-05-03,0,12,0%,10.3
2026-05-04,0,4,0%,23
2026-05-05,0,9,0%,14.3
2026-05-06,0,5,0%,6.8
2026-05-07,0,6,0%,43.8
2026-05-08,0,3,0%,28.7
2026-05-09,0,8,0%,9.5
2026-05-10,0,5,0%,34.4
2026-05-11,1,5,20%,6.4
2026-05-12,0,4,0%,4.5
2026-05-13,0,3,0%,10.7
2026-05-14,0,3,0%,10.3
2026-05-15,0,2,0%,9
2026-05-16,0,10,0%,5
2026-05-17,0,2,0%,20.5
2026-05-18,0,4,0%,2
2026-05-19,0,0,,
2026-05-20,1,5,20%,6.6
2026-05-21,0,3,0%,6.3
2026-05-22,0,3,0%,2
2026-05-23,0,0,,
2026-05-24,0,2,0%,6.5
2026-05-25,0,4,0%,8.5
2026-05-26,0,0,,
2026-05-27,0,4,0%,10.2
2026-05-28,0,1,0%,6
2026-05-29,0,0,,
2026-05-30,0,4,0%,8.8
2026-05-31,0,4,0%,35
2026-06-01,0,0,,
2026-06-02,0,4,0%,10.2
2026-06-03,0,0,,
2026-06-04,1,2,50%,3
2026-06-05,0,0,,
2026-06-06,0,2,0%,5.5
2026-06-07,0,2,0%,6.5
2026-06-08,0,4,0%,42.2
2026-06-09,0,2,0%,44
2026-06-10,0,4,0%,3
2026-06-11,0,20,0%,51
2026-06-12,0,18,0%,28.5
2026-06-13,0,9,0%,10.6
2026-06-14,0,9,0%,15.1
2026-06-15,0,3,0%,7
2026-06-16,1,6,16.67%,9.5
2026-06-17,0,15,0%,22.5
2026-06-18,0,13,0%,21.4
2026-06-19,0,17,0%,59.2
2026-06-20,0,13,0%,31.4
2026-06-21,1,16,6.25%,25.4
2026-06-22,0,11,0%,35.2
2026-06-23,1,9,11.11%,6.1
2026-06-24,0,5,0%,4.6
2026-06-25,0,27,0%,70
2026-06-26,0,18,0%,38.8
2026-06-27,1,17,5.88%,8.2
2026-06-28,0,7,0%,7
2026-06-29,1,12,8.33%,6
2026-06-30,0,4,0%,6
2026-07-01,0,17,0%,29
2026-07-02,0,11,0%,41.2
2026-07-03,1,15,6.67%,54.8
2026-07-04,0,9,0%,6.7
2026-07-05,0,15,0%,6.7
2026-07-06,0,31,0%,61.3
2026-07-07,0,12,0%,24.1
2026-07-08,0,8,0%,6.4
2026-07-09,0,9,0%,47.4
2026-07-10,0,18,0%,41.9
2026-07-11,1,7,14.29%,63.6
2026-07-12,2,6,33.33%,4.7
2026-07-13,0,5,0%,36.2
2026-07-14,0,3,0%,48.7
2026-07-15,0,11,0%,6.8
2026-07-16,0,16,0%,62.9
2026-07-17,0,18,0%,50.4
2026-07-18,0,21,0%,47.8
2026-07-19,0,9,0%,6.6
2026-07-20,0,8,0%,11.6
2026-07-21,1,9,11.11%,37.8
2026-07-22,1,17,5.88%,23.3
2026-07-23,0,17,0%,56.4
2026-07-24,0,17,0%,45.6
2026-07-25,0,12,0%,26.3
2026-07-26,0,5,0%,36
2026-07-27,0,4,0%,74.2
2026-07-28,0,15,0%,30.8
2026-07-29,1,9,11.11%,15.2
2026-07-30,1,13,7.69%,42.9
2026-07-31,0,17,0%,39.9
2026-08-01,0,16,0%,25.7
2026-08-02,0,11,0%,6.5
2026-08-03,1,8,12.5%,40.1
2026-08-04,0,8,0%,19.1
2026-08-05,0,5,0%,23
2026-08-06,0,13,0%,31
2026-08-07,0,11,0%,44.5
2026-08-08,0,22,0%,55.4
2026-08-09,0,12,0%,38.6
2026-08-10,0,7,0%,17.4
2026-08-11,0,18,0%,7.1
2026-08-12,0,18,0%,26.4
2026-08-13,0,23,0%,54.5
2026-08-14,0,28,0%,40.8
2026-08-15,0,28,0%,19.2
2026-08-16,1,16,6.25%,30.9
2026-08-17,0,8,0%,34.6
2026-08-18,0,12,0%,8.2
2026-08-19,1,14,7.14%,8.6
2026-08-20,1,10,10%,13.5
2026-08-21,0,18,0%,44.8
2026-08-22,0,26,0%,17.3
2026-08-23,1,20,5%,17.3
2026-08-24,1,49,2.04%,16.8
