Top pages,Clicks,Impressions,CTR,Position
https://www.the-anchor.pub/pub-near-premier-inn-heathrow,6,295,2.03%,24.34
https://www.the-anchor.pub/pub-near-crowne-plaza-heathrow,5,258,1.94%,31.31
https://www.the-anchor.pub/pub-near-radisson-blu-heathrow,2,137,1.46%,17.87
https://www.the-anchor.pub/pub-near-ibis-heathrow,2,118,1.69%,23.96
https://www.the-anchor.pub/pub-near-marriott-heathrow,2,41,4.88%,5.98
https://www.the-anchor.pub/pub-near-renaissance-heathrow,2,14,14.29%,9.14
https://www.the-anchor.pub/pub-near-novotel-heathrow,1,139,0.72%,58.24
https://www.the-anchor.pub/pub-near-hilton-heathrow,1,92,1.09%,38.13
https://www.the-anchor.pub/pub-near-sofitel-heathrow,1,22,4.55%,6
https://www.the-anchor.pub/pub-near-holiday-inn-heathrow,0,48,0%,36.44
https://www.the-anchor.pub/pub-near-travelodge-heathrow,0,17,0%,44.94
