page_path,uses_HeroWrapper,uses_BreadcrumbJsonLd,uses_inline_schema,classification,notes
app/[...unmatched]/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/about/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/accessibility/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/ashford-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/bank-holiday-weekends/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/bedfont-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/beer-garden/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/blog/[slug]/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/blog/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/blog/tag/[tag]/page.tsx,1,0,0,keep-as-is-hero-only,
app/blog/tags/page.tsx,1,0,0,keep-as-is-hero-only,
app/bonfire-night/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/book-event/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/book-table/page.tsx,1,0,0,keep-as-is-hero-only,
app/booking-confirmation/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/boxing-day/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/burger-menu/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/cash-bingo/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/christmas-parties/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/coach-parking-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/colnbrook-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/corporate-christmas-parties/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/corporate-events/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/dog-friendly-pub-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/drinks/[slug]/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/drinks/baby-guinness/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/drinks/managers-special/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/drinks/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/easter/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/egham-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/events/[id]/page.tsx,1,0,0,keep-as-is-hero-only,
app/family-friendly-pub-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/fathers-day/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/feltham-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/find-us/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/fish-and-chips-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/food-menu/gluten-free/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/food-menu/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/food-menu/vegan/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/food-menu/vegetarian/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/free-parking/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/function-room-hire/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/halloween/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/heathrow-family-dining/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/heathrow-hotels-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/heathrow-layover-dining/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/heathrow-parking/[terminal]/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/heathrow-parking/confirmation/[bookingId]/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/heathrow-parking/page.tsx,1,0,0,keep-as-is-hero-only,
app/horton-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/karaoke/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/leave-review/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/live-music/page.tsx,1,0,0,keep-as-is-hero-only,
app/live-sport/boxing/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/live-sport/f1/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/live-sport/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/live-sport/six-nations/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/live-sport/world-cup/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/longford-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/luggage-storage-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/m25-junction-14-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/mothers-day/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/music-bingo/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/near-heathrow/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/near-heathrow/terminal-2/page.tsx,1,0,0,keep-as-is-hero-only,
app/near-heathrow/terminal-3/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/near-heathrow/terminal-4/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/near-heathrow/terminal-5/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/new-years-eve/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/open-mic/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/our-pub/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/page.tsx,1,0,0,keep-as-is-hero-only,
app/parking/bookings/[id]/page.tsx,0,0,0,keep-as-is-no-breadcrumb,
app/pizza-menu/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/plane-spotting-heathrow/page.tsx,1,0,0,keep-as-is-hero-only,
app/pool-darts-pub/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pre-flight-meal/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/privacy-policy/page.tsx,1,0,0,keep-as-is-hero-only,
app/private-hire/baby-showers/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/private-hire/christenings/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/private-hire/engagement-parties/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/private-hire/gender-reveal/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/private-hire/milestone-birthdays/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/private-hire/near/[slug]/page.tsx,1,0,0,keep-as-is-hero-only,
app/private-hire/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/private-hire/retirement-parties/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/private-hire/wakes/page.tsx,1,1,0,safe-to-edit-remove-bjld,
app/private-party-venue/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-garden-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
app/pub-near-crowne-plaza-heathrow/page.tsx,1,0,1,safe-to-edit-remove-inline,
