url,gsc_issue,url_type,cohort,current_status,canonical,robots,incoming_rendered_links,sample_referrers,action,recommendation
https://www.the-anchor.pub/events/music-bingo-2026-05-08,Crawled - currently not indexed,page,event,live-200,https://www.the-anchor.pub/events/music-bingo-2026-05-08,"index, follow",0,,monitor-event-lifecycle,Live event page is indexable under the event lifecycle policy. No content rewrite; monitor until it redirects or noindexes after the lifecycle threshold.
https://www.the-anchor.pub/events/cash-bingo-2026-04-29/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/cash-bingo-2026-04-29,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/_next/static/css/ee838c7e2845dfcc.css?dpl=dpl_FGuoXEMD4xnsEsWMd5YadixECSbw,Crawled - currently not indexed,static_asset,static_asset,static-asset-200-after-robots-recrawl,,crawlable static asset,0,,no-action-non-page,Hashed static asset. Should clear after robots.txt recrawl following the dpl= unblock; no content work.
https://www.the-anchor.pub/events/cash-bingo-2026-05-20/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/cash-bingo-2026-05-20,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/_next/static/css/e6d53f767da95b45.css?dpl=dpl_AamFHQQp6bV9LSijEdVfnKmXj6Ls,Crawled - currently not indexed,static_asset,static_asset,static-asset-200-after-robots-recrawl,,crawlable static asset,0,,no-action-non-page,Hashed static asset. Should clear after robots.txt recrawl following the dpl= unblock; no content work.
https://www.the-anchor.pub/events/music-bingo-2026-04-24/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/music-bingo-2026-04-24,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/blog?page=3,Crawled - currently not indexed,parameter_variant,other,canonical-variant,https://www.the-anchor.pub/blog,canonical controls indexing,270,/|/_not-found|/about|/accessibility|/ashford-pub,no-action-non-page,Parameter variant. Confirm canonical points to the clean URL; no content work.
https://www.the-anchor.pub/events/drag-cabaret-karaoke-may--2025/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/drag-cabaret-karaoke-may--2025,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/blog/christening-party-ideas-venues,Crawled - currently not indexed,page,post,local-rendered-200,https://www.the-anchor.pub/blog/christening-party-ideas-venues,"index, follow",4,/blog/gender-reveal-party-ideas-venues|/blog/leaving-party-ideas|/blog/tag/guides|/blog/tag/private-hire,manual-review-page,"Real page candidate with 4 rendered incoming links. Focus manual review on search intent, canonical/robots state, and content usefulness rather than orphan fixes."
https://www.the-anchor.pub/blog/leaving-party-ideas,Crawled - currently not indexed,page,post,local-rendered-200,https://www.the-anchor.pub/blog/leaving-party-ideas,"index, follow",4,/blog/christening-party-ideas-venues|/blog/retirement-party-ideas-venues|/blog/tag/guides|/blog/tag/private-hire,manual-review-page,"Real page candidate with 4 rendered incoming links. Focus manual review on search intent, canonical/robots state, and content usefulness rather than orphan fixes."
https://www.the-anchor.pub/events/celebrate-st-georges-day-with-us-2026-04-23,Crawled - currently not indexed,page,event,live-200,https://www.the-anchor.pub/events/celebrate-st-georges-day-with-us-2026-04-23,"index, follow",0,,monitor-event-lifecycle,Live event page is indexable under the event lifecycle policy. No content rewrite; monitor until it redirects or noindexes after the lifecycle threshold.
https://www.the-anchor.pub/events/twisted-fairytale-halloween-party-2025-11-01/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/twisted-fairytale-halloween-party-2025-11-01,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/blog/tag/news,Crawled - currently not indexed,page,tag,local-rendered-noindex,https://www.the-anchor.pub/blog/tag/news,"noindex, follow",14,/blog/childrens-mental-health-week|/blog/tag/birthdays|/blog/tag/community|/blog/tag/events|/blog/tag/food-and-drink,wait-for-recrawl-noindex,Current branch renders this URL with noindex. Keep it out of sitemap and indexable archives; wait for Google to reclassify after deploy/recrawl.
https://www.the-anchor.pub/blog/tag/sports,Crawled - currently not indexed,page,tag,local-rendered-noindex,https://www.the-anchor.pub/blog/tag/sports,"noindex, follow",13,/blog/tag/birthdays|/blog/tag/community|/blog/tag/events|/blog/tag/food-and-drink|/blog/tag/guides,wait-for-recrawl-noindex,Current branch renders this URL with noindex. Keep it out of sitemap and indexable archives; wait for Google to reclassify after deploy/recrawl.
https://www.the-anchor.pub/blog/tag/food-and-drink,Crawled - currently not indexed,page,tag,local-rendered-noindex,https://www.the-anchor.pub/blog/tag/food-and-drink,"noindex, follow",13,/blog/tag/birthdays|/blog/tag/community|/blog/tag/events|/blog/tag/guides|/blog/tag/heathrow,wait-for-recrawl-noindex,Current branch renders this URL with noindex. Keep it out of sitemap and indexable archives; wait for Google to reclassify after deploy/recrawl.
https://www.the-anchor.pub/blog/tag/charity,Crawled - currently not indexed,redirect_source,tag,301 -> /blog/tag/community,/blog/tag/community,redirect-source,0,,validate-redirect-chain,Redirect source. Verify final live chain reaches a 200 in one hop after deploy; no content rewrite.
https://www.the-anchor.pub/events/cash-bingo-2026-02-18/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/cash-bingo-2026-02-18,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
https://www.the-anchor.pub/blog/family-friendly-sunday-lunch-heathrow,Crawled - currently not indexed,page,post,local-rendered-200,https://www.the-anchor.pub/blog/family-friendly-sunday-lunch-heathrow,"index, follow",4,/blog/cheap-heathrow-parking-alternatives|/blog/pizza-deals-stanwell-heathrow-tuesdays|/blog/tag/food-and-drink|/blog/tag/news,manual-review-page,"Real page candidate with 4 rendered incoming links. Focus manual review on search intent, canonical/robots state, and content usefulness rather than orphan fixes."
https://www.the-anchor.pub/blog/tag/events,Crawled - currently not indexed,page,tag,local-rendered-noindex,https://www.the-anchor.pub/blog/tag/events,"noindex, follow",13,/blog/tag/birthdays|/blog/tag/community|/blog/tag/food-and-drink|/blog/tag/guides|/blog/tag/heathrow,wait-for-recrawl-noindex,Current branch renders this URL with noindex. Keep it out of sitemap and indexable archives; wait for Google to reclassify after deploy/recrawl.
https://www.the-anchor.pub/events/sleigh-that-tune-2025-12-03/opengraph-image,Crawled - currently not indexed,og_image,event,image-route-200-expected,https://www.the-anchor.pub/events/sleigh-that-tune-2025-12-03,"X-Robots-Tag noindex,nofollow,noimageindex expected",0,,no-action-non-page,Non-page image resource. Keep crawlable and noindexable via X-Robots-Tag; no content work.
