url,issue,url_type,cohort,last_crawled
http://the-anchor.pub/,Page with redirect,page,other,2026-04-27
https://the-anchor.pub/,Page with redirect,page,other,2026-04-27
http://www.the-anchor.pub/,Page with redirect,page,other,2026-04-26
https://www.the-anchor.pub/events/quiz-night-may--2025,Page with redirect,page,event,2026-04-23
https://www.the-anchor.pub/blog/tag/function-room,Page with redirect,redirect_source,tag,2026-04-23
https://www.the-anchor.pub/events/bingo-night-2025-11-14,Page with redirect,page,event,2026-04-21
https://www.the-anchor.pub/blog/tag/christenings,Page with redirect,redirect_source,tag,2026-04-18
https://www.the-anchor.pub/blog/tag/work-events,Page with redirect,redirect_source,tag,2026-04-17
https://www.the-anchor.pub/blog/tag/rum,Page with redirect,page,tag,2026-04-17
https://www.the-anchor.pub/blog/tag/advice,Page with redirect,page,tag,2026-04-16
https://www.the-anchor.pub/blog/tag/culture,Page with redirect,page,tag,2026-04-12
https://www.the-anchor.pub/blog/tag/irish,Page with redirect,page,tag,2026-04-12
https://www.the-anchor.pub/events/bingo-night-2025-10-17,Page with redirect,page,event,2026-04-12
https://www.the-anchor.pub/events/pub-quiz-night-2025-12-10,Page with redirect,page,event,2026-04-12
https://www.the-anchor.pub/events/quiz-night-june--2025,Page with redirect,page,event,2026-04-12
https://www.the-anchor.pub/events/bingo-2026-03-18,Page with redirect,page,event,2026-04-10
https://www.the-anchor.pub/events/live-at-the-anchor-open-mic-night-2026-04-25,Page with redirect,page,event,2026-04-10
https://www.the-anchor.pub/post/autumn-internationals-2024-fixtures-key-matches,Page with redirect,legacy_wix,post,2026-04-09
https://www.the-anchor.pub/blog/tag/spirits,Page with redirect,redirect_source,tag,2026-04-08
https://www.the-anchor.pub/blog/tag/opportunity,Page with redirect,page,tag,2026-04-08
https://www.the-anchor.pub/blog/autumn-internationals-2024-full-fixtures-highlight,Page with redirect,redirect_source,post,2026-04-08
https://the-anchor.pub/food/pizza,Page with redirect,redirect_source,food_menu,2026-04-08
https://www.the-anchor.pub/food/pizza,Page with redirect,redirect_source,food_menu,2026-04-08
https://www.the-anchor.pub/pizza-tuesday,Page with redirect,redirect_source,other,2026-04-08
https://www.the-anchor.pub/blog/tag/digital-nomad,Page with redirect,page,tag,2026-04-07
https://www.the-anchor.pub/events/live-at-the-anchor-open-mic-night-2026-04-25?utm_source=instagram&utm_medium=lnk.bio&utm_campaign=event-live-at-the-anchor-open-mic-night-2026-04-25&utm_content=instagram_bio&utm_term=lnk_bio,Page with redirect,parameter_variant,event,2026-04-07
https://www.the-anchor.pub/our-events,Page with redirect,redirect_source,other,2026-04-07
https://www.the-anchor.pub/blog/tag/mexican,Page with redirect,redirect_source,tag,2026-04-07
https://www.the-anchor.pub/blog/tag/pizza,Page with redirect,redirect_source,tag,2026-04-07
https://www.the-anchor.pub/blog/tag/st-patricks-day,Page with redirect,redirect_source,tag,2026-04-07
https://www.the-anchor.pub/blog/tag/cultural,Page with redirect,page,tag,2026-04-06
https://www.the-anchor.pub/blog/tag/thursday,Page with redirect,page,tag,2026-04-06
https://www.the-anchor.pub/blog/tag/local-brew,Page with redirect,page,tag,2026-04-05
https://www.the-anchor.pub/blog/tag/renovations,Page with redirect,page,tag,2026-04-05
https://www.the-anchor.pub/review-the-anchor,Page with redirect,redirect_source,other,2026-04-05
https://www.the-anchor.pub/food,Page with redirect,redirect_source,other,2026-04-05
https://www.the-anchor.pub/blog/tag/customer-service,Page with redirect,page,tag,2026-04-05
https://www.the-anchor.pub/blog/tag/pet-health,Page with redirect,page,tag,2026-04-05
https://www.the-anchor.pub/blog/tag/tastings,Page with redirect,page,tag,2026-04-05
https://www.the-anchor.pub/events/live-at-the-anchor-valentines-special,Page with redirect,page,event,2026-04-05
https://www.the-anchor.pub/event-details/the-anchors-christmas-market-host-table-bookings,Page with redirect,legacy_wix,event,2026-04-04
