url,url_type,cohort,live_status,redirect_to,robots,canonical,action,recommendation,last_crawled
"https://www.the-anchor.pub/events/quiz-night-2026-04-15/opengraph-image","og_image","event","","","","","no-action-non-page","OG-image route — noindex by design; expected, no action.","2026-05-29"
"https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_7EsAw6aXj8vYbthrFj64D7tg81xq","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-25"
"https://www.the-anchor.pub/_next/static/css/ff1fd1267243c28a.css?dpl=dpl_7EsAw6aXj8vYbthrFj64D7tg81xq","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-25"
"https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_3FsS1xPc2miZQP4bVci9hsnwKHRU","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-24"
"https://www.the-anchor.pub/_next/static/css/2bf1ac2f86078156.css?dpl=dpl_3FsS1xPc2miZQP4bVci9hsnwKHRU","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-24"
"https://www.the-anchor.pub/_next/static/css/2bf1ac2f86078156.css?dpl=dpl_5gA2zxiNpXNB8ZBYQjFRpZsidcVT","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-23"
"https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_5gA2zxiNpXNB8ZBYQjFRpZsidcVT","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-23"
"https://www.the-anchor.pub/events/cash-bingo-night-2026-07-01","page","event","200","","index, follow","https://www.the-anchor.pub/events/cash-bingo-night-2026-07-01","manual-review-page","Indexable 200 but not indexed — add internal links from strong hubs (home, /whats-on, /food-menu) + ensure distinct search intent; then Request Indexing.","2026-05-23"
"https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_BNWapx1XrhboYWDXN8K6KU7cwvsA","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-22"
"https://www.the-anchor.pub/_next/static/css/2bf1ac2f86078156.css?dpl=dpl_BNWapx1XrhboYWDXN8K6KU7cwvsA","static_asset","static_asset","","","","","no-action-non-page","Hashed/static asset — clears after the robots dpl= recrawl; no content work.","2026-05-22"
