observation_id,keyword_id,alias_group_id,source,lens,location,language,network,window_start,window_end,precision_mode,raw_text,value_low,value_high,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,currency,state,pulled_on,run_id,source_file,source_row
ob_000001,kw_000001,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,50.0,10,100,0,0,Low,5,,,GBP,returned,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,3
ob_000002,kw_000002,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,,,,,,,,,,GBP,absent,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,4
ob_000003,kw_000003,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,,,,,,,,,,GBP,absent,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,5
ob_000004,kw_000004,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,500.0,100,1000,0,0,Low,7,1.09,4.81,GBP,returned,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,6
ob_000005,kw_000005,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,,,,,,,,,,GBP,absent,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,7
ob_000006,kw_000006,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,,,,,,,,,,GBP,absent,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,8
ob_000007,kw_000007,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,,,,,,,,,,GBP,absent,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,9
ob_000008,kw_000008,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,50.0,10,100,0,0,Low,21,3.9,9.49,GBP,returned,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,10
ob_000009,kw_000009,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,50.0,10,100,0,0,Low,7,,,GBP,returned,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,11
ob_000010,kw_000010,,volumes,country,United Kingdom,English,Google Search,2025-08-01,2026-07-31,encoded_band,500.0,100,1000,0,0,Low,0,,,GBP,returned,2026-08-17,2026-09-11-01-legacy,raw/gkp-volumes-01-game-nights.csv,12
