query_text,keyword_id,candidate_cluster_ids,resolution_cluster_id,resolution_method,resolved_at
bingo events near me,kw_001476,cl_0004|cl_0005,cl_0004,operator,2026-09-11
charity quiz night near me,kw_001485,cl_0001|cl_0002,cl_0002,operator,2026-09-11
drag bingo near me,kw_000010,cl_0003|cl_0004,cl_0003,operator,2026-09-11
gavin and stacey quiz,kw_001734,cl_0001|cl_0002,,,
gavin and stacey quiz night,kw_001735,cl_0001|cl_0002,,,
music bingo near me,kw_000026,cl_0003|cl_0004,cl_0003,exact-head-term,2026-09-11
music bingo near me thursday,kw_000829,cl_0003|cl_0004,cl_0003,operator,2026-09-11
music bingo near me tonight,kw_000830,cl_0003|cl_0004,cl_0003,operator,2026-09-11
music bingo night,kw_000027,cl_0003|cl_0004,cl_0003,operator,2026-09-11
music bingo nights,kw_001532,cl_0003|cl_0004,cl_0003,operator,2026-09-11
musical bingo near me,kw_000031,cl_0003|cl_0004,cl_0003,operator,2026-09-11
only fools and horses charity quiz,kw_001738,cl_0001|cl_0002,,,
only fools and horses quiz,kw_001736,cl_0001|cl_0002,,,
only fools and horses quiz night,kw_001737,cl_0001|cl_0002,,,
rock and roll bingo near me,kw_000050,cl_0003|cl_0004,cl_0003,operator,2026-09-11
sitcom quiz night,kw_001742,cl_0001|cl_0002,,,
themed quiz night,kw_001739,cl_0001|cl_0002,,,
themed quiz night near me,kw_001740,cl_0001|cl_0002,,,
tv themed quiz night,kw_001741,cl_0001|cl_0002,,,
