source_file,layout,batch,row,keyword_text,keyword_norm,currency,raw_volume,precision_mode,value_low,value_high,state,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,in_account,in_plan,window_start,window_end,location,language,network,lens,pulled_on,source_hash
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,1,whats on near me tonight,whats on near me tonight,GBP,500,encoded_band,100,1000,returned,0,0,High,98,0.36,1.68,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,2,things to do in staines,things to do in staines,GBP,500,encoded_band,100,1000,returned,0,0,High,100,0.25,1.48,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,3,things to do near heathrow,things to do near heathrow,GBP,500,encoded_band,100,1000,returned,9,0,Low,12,0.23,1.15,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,4,pub events near me,pub events near me,GBP,500,encoded_band,100,1000,returned,0,0,Low,4,0.47,1.53,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,5,quiz night near me,quiz night near me,GBP,5000,encoded_band,1000,10000,returned,0,0,Low,3,0.6,1.94,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,6,karaoke near me,karaoke near me,GBP,50000,encoded_band,10000,100000,returned,0,0,Low,32,0.26,0.78,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,7,bingo night near me,bingo night near me,GBP,500,encoded_band,100,1000,returned,0,0,Low,7,1.09,4.81,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,8,pub entertainment near me,pub entertainment near me,GBP,500,encoded_band,100,1000,returned,0,0,Low,9,,,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,9,whats on this weekend near me,whats on this weekend near me,GBP,50000,encoded_band,10000,100000,returned,0,0,High,95,0.38,1.33,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
raw/gkp-discover-01-whats-on-things-to-do.csv,discover,gkp-discover-01,10,things to do near me this weekend,things to do near me this weekend,GBP,5000,encoded_band,1000,10000,returned,0,0,High,100,0.32,1.22,,,,2025-08-01,2026-07-31,United Kingdom,English,Google Search,country,2026-09-08,70fbd70d057b238cee57df3db043a3eea72e89573d2278812516bf8fcdf617ca
