export_id,country,clicks,impressions,ctr,position,scope,window_start,window_end,filter_type,filter_value,source_file
gsc-16m-p-pg_0001,United Kingdom,28,7349,0.0038,7.34,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Portugal,1,16,0.0625,6.25,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,United States,0,145,0,4.68,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Germany,0,69,0,10.64,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,France,0,68,0,8.21,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Italy,0,68,0,11.07,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Spain,0,53,0,8.94,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Canada,0,30,0,2.57,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Brazil,0,27,0,9.7,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Cyprus,0,27,0,2.37,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Netherlands,0,22,0,9.64,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Russia,0,19,0,47.11,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Australia,0,18,0,4.17,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Greece,0,15,0,5.33,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,India,0,14,0,8.14,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Ireland,0,14,0,4.29,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Poland,0,14,0,8.43,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Switzerland,0,14,0,5.86,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Mexico,0,13,0,7.46,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Finland,0,11,0,9.27,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Japan,0,10,0,5.9,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Sweden,0,10,0,6.1,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Vietnam,0,10,0,12.6,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Austria,0,8,0,9.5,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Belgium,0,8,0,8.75,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Denmark,0,8,0,8.38,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Philippines,0,8,0,23,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Indonesia,0,6,0,11.83,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Morocco,0,6,0,4.33,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Norway,0,6,0,7,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Singapore,0,6,0,8,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Kenya,0,5,0,1.8,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Malaysia,0,5,0,4,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Malta,0,5,0,9.6,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,New Zealand,0,5,0,18.8,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
gsc-16m-p-pg_0001,Croatia,0,4,0,7.5,page-group,2025-05-09,2026-09-08,page,https://www.the-anchor.pub/whats-on,raw/gsc-16m-p-pg_0001/Countries.csv
