keyword_id,canonical_text,submitted_text,intent,brand_flag,eligibility,avoid_reason,avoid_scope,lifecycle,sources,primary_cluster_id,secondary_cluster_ids,first_seen_run,last_seen_run,notes
kw_000001,best pub quiz near me,best pub quiz near me,local,false,eligible,,,candidate,volumes|gsc,cl_0001,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000002,bingo ashford middlesex,bingo ashford middlesex,,false,eligible,,,candidate,volumes,,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000003,bingo near feltham,bingo near feltham,,false,eligible,,,candidate,volumes,,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000004,bingo night near me,bingo night near me,local,false,eligible,,,candidate,volumes|discover,cl_0004,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000005,bingo night staines,bingo night staines,local,false,eligible,,,candidate,volumes,cl_0004,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000006,bingo night surrey,bingo night surrey,local,false,eligible,,,candidate,volumes,cl_0004,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000007,bingo staines,bingo staines,,false,eligible,,,candidate,volumes,,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000008,cash bingo near me,cash bingo near me,local,false,eligible,,,candidate,volumes|gsc,cl_0004,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000009,cash prize bingo,cash prize bingo,local,false,eligible,,,candidate,volumes,cl_0004,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000010,drag bingo near me,drag bingo near me,,false,eligible,,,candidate,volumes,,cl_0003|cl_0004,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000011,family friendly pub quiz,family friendly pub quiz,local,false,eligible,,,candidate,volumes,cl_0001,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000012,free karaoke near me,free karaoke near me,,false,eligible,,,candidate,volumes,,,2026-09-11-01-legacy,2026-09-11-01-legacy,
kw_000013,karaoke ashford middlesex,karaoke ashford middlesex,,false,eligible,,,candidate,volumes,,,2026-09-11-01-legacy,2026-09-11-01-legacy,
