source_file,layout,batch,row,keyword_text,keyword_norm,currency,raw_volume,precision_mode,value_low,value_high,state,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,in_account,in_plan,window_start,window_end,location,language,network,lens,pulled_on,source_hash
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,4,18 and older karaoke near me,18 and older karaoke near me,GBP,0.0,encoded_band,0,0,zero,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,5,18 karaoke bars near me,18 karaoke bars near me,GBP,0.0,encoded_band,0,0,zero,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,6,18 karaoke near me,18 karaoke near me,GBP,0.0,encoded_band,0,0,zero,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,7,18 plus karaoke near me,18 plus karaoke near me,GBP,0.0,encoded_band,0,0,zero,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,8,24 hours ktv near me,24 hours ktv near me,GBP,0.0,encoded_band,0,0,zero,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,9,5 gbp bingo,5 gbp bingo,GBP,50.0,encoded_band,10,100,returned,0,0,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,10,achor bar,achor bar,GBP,5000.0,encoded_band,1000,10000,returned,0,0,Low,2,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,11,achor pub,achor pub,GBP,,encoded_band,,,absent,,,,,,,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,12,activities,activities,GBP,50000.0,encoded_band,10000,100000,returned,0,0,Low,6,0.31,1.32,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
raw/gkp-volumes-01.csv,volumes,gkp-volumes-01,13,activities near me for adults,activities near me for adults,GBP,5000.0,encoded_band,1000,10000,returned,0,0,Medium,64,0.23,1.04,,,,2025-09-01,2026-08-31,United Kingdom,English,Google Search,country,2026-09-13,1f37c7246e8d4a91232940e64709c69131d859f582eaeabc5ad939aae6aa125c
