query,clicks,impressions,ctr,position,page,date_range
pub bingo near me,0,31,0,22.48,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
cash bingo near me,0,7,0,10,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
where to meet people,0,3,0,1,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
bar bingo near me,0,2,0,40.5,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
bingo near me,0,2,0,3,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
which bingo site has the best snowball jackpot games?,0,2,0,4,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
activities near me for adults,0,1,0,1,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
anchor bingo,0,1,0,3,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
anglers retreat staines,0,1,0,5,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
bingo books,0,1,0,6,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
bingo boston,0,1,0,1,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
pub events,0,1,0,1,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
snowball jackpot bingo,0,1,0,9,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
staines and ashford news,0,1,0,4,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
staines day 2026,0,1,0,3,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
what is the snowball,0,1,0,3,+^https://www[.]the-anchor[.]pub/cash-bingo$,2026-06-12 to 2026-09-11
