rank,id,action,category,priority_score,decision,approval_bucket,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at,band,expected_clicks_delta,expected_value_delta
1,SEO-002,(untitled),Measurement,250.0,Do now,,5,4,5,5,1,1,Owner,,"strategy#72, analytics#1, analytics#2, technical#83, authority#23",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
2,SEO-007,(untitled),CRO/Bug,125.0,Do now,,5,2,5,5,1,1,Dev,,"ux-cro#98, copywriter#44, strategy#75, technical(menu)",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
3,SEO-001,(untitled),Measurement,100.0,Do now,,5,2,5,4,1,1,Owner+Dev,,"strategy#71, analytics#3, tracking-evidence.md",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
4,SEO-021,(untitled),Content/SSOT,60.0,Do now,,3,2,4,5,1,1,Dev,,editor-qa#64,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
5,SEO-003,(untitled),Measurement,53.33,Do now,,5,2,4,4,2,1,Owner+Dev,,"analytics#0, analytics#12",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
6,SEO-008,(untitled),CRO/Bug,50.0,Do now,,4,1,5,5,1,1,Dev,,ux-cro#100,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
7,SEO-010,(untitled),CRO,50.0,Do now,,4,1,5,5,1,1,Dev,,editor-qa#59,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
8,SEO-017,(untitled),Content/SSOT,50.0,Schedule,,5,2,5,5,3,2,Editorial+Dev,,"copywriter#47, copywriter#48, copywriter#49",decision suggested -> Schedule; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Schedule,,
9,SEO-013,(untitled),CRO,48.0,Do now,,3,2,4,4,1,1,Dev,,ux-cro#103,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
10,SEO-023,(untitled),Metadata/System,45.0,Do now,,3,3,4,5,2,2,Dev,,"strategy#74, content#26, content#27, copywriter#43, copywriter#52",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
11,SEO-025,(untitled),Technical,45.0,Do now,,3,3,4,5,2,2,Dev,,"technical#81, technical#87, content#32, content#39",decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
12,SEO-015,(untitled),Content/SSOT,41.67,Do now,,5,1,5,5,2,1,Dev+Editorial,,editor-qa#58,decision suggested -> Do now; forecast skipped -> no demand source (impressions absent),2026-07-07T07:31:15,Do now,,
