source_url,target_url,anchor_text,collected_at
http://localhost:3000/christmas-parties,http://localhost:3000/heathrow-parking,Book parking,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/,,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/food-menu,Food,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/food-menu,"Full Food MenuPub classics, prices and dietary filters",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/sunday-roast,"Sunday RoastCarved fresh to order, every Sunday",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/pizza-menu,Stone-Baked PizzaHand-stretched pizzas from the live menu,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/fish-and-chips-heathrow,Fish & ChipsA proper chippy tea near Heathrow,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/food-menu/vegan,Vegetarian & VeganPlant-based dishes and vegan options,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/food-menu/gluten-free,Gluten-free optionsGluten-free choices and allergen guidance,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/drinks,"Drinks MenuDraught pints, cocktails, wine and soft drinks",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/private-hire,Private Hire,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/private-hire,"Check AvailabilityTell us your date, guest count and plans",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/function-room-hire,"Function Room HireRoom hire details, layouts and capacity",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/private-party-venue,Private PartiesBirthdays and relaxed celebrations,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/private-hire/wakes,Wakes & MemorialsRespectful gatherings with simple catering,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/private-hire/christenings,ChristeningsPost-service meals and family receptions,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/corporate-events,"Corporate EventsTeam meals, away days and work socials",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/christmas-parties,Christmas PartiesFestive private hire and group bookings,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/whats-on,What's On,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/whats-on,Upcoming EventsThe next hosted events and weekly nights,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/quiz-night,"Quiz NightPub quiz nights, teams and prizes",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/music-bingo,Music BingoHosted music bingo with food and prizes,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/cash-bingo,Cash BingoClassic bingo sessions with cash prizes,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/karaoke,KaraokeSingalong nights and party groups,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/live-music,"Live MusicBands, acoustic sessions and pub nights",2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/find-us,Find Us,2026-07-10T20:07:06.278437+00:00
