Top pages,Clicks,Impressions,CTR,Position
https://www.the-anchor.pub/,161,3981,4.04%,12.31
https://www.the-anchor.pub/beer-garden,49,717,6.83%,7.25
https://www.the-anchor.pub/sunday-lunch,28,493,5.68%,6.57
https://www.the-anchor.pub/food-menu,21,1861,1.13%,8.68
https://www.the-anchor.pub/blog/fish-chips-guide,12,804,1.49%,8.51
https://www.the-anchor.pub/blog/best-sunday-roast-near-heathrow,12,235,5.11%,7.85
https://www.the-anchor.pub/blog/ultimate-guide-to-traveling-as-a-digital-nomad-wit,10,195,5.13%,14.14
https://www.the-anchor.pub/near-heathrow/terminal-5,9,980,0.92%,13.79
https://www.the-anchor.pub/christmas-parties,9,943,0.95%,7.82
https://www.the-anchor.pub/heathrow-parking,8,1475,0.54%,30.57
https://www.the-anchor.pub/plane-spotting-heathrow,8,685,1.17%,11.47
https://www.the-anchor.pub/whats-on,6,1386,0.43%,7.5
https://www.the-anchor.pub/find-us,3,1296,0.23%,8.08
https://www.the-anchor.pub/near-heathrow,3,374,0.80%,14.72
https://www.the-anchor.pub/blog/christmas-events,3,247,1.21%,7.43
https://www.the-anchor.pub/near-heathrow/terminal-2,2,590,0.34%,21.36
https://www.the-anchor.pub/m25-junction-14-pub,2,570,0.35%,7.8
https://www.the-anchor.pub/near-heathrow/terminal-3,2,544,0.37%,14.44
https://www.the-anchor.pub/blog/autumn-internationals-2024-full-fixtures-highlight,2,489,0.41%,39.21
https://www.the-anchor.pub/feltham-pub,2,181,1.10%,10.6
https://www.the-anchor.pub/function-room-hire,2,157,1.27%,30.11
https://www.the-anchor.pub/events/pub-quiz-night-2025-12-10,2,68,2.94%,6.04
https://www.the-anchor.pub/blog/christmas-market,2,53,3.77%,7.77
https://www.the-anchor.pub/blog/tag/live-matches,2,51,3.92%,6.27
https://www.the-anchor.pub/blog/new-dining-room,2,26,7.69%,4.69
https://www.the-anchor.pub/blog/sports-update,2,21,9.52%,7.48
https://www.the-anchor.pub/blog/tag/november,2,20,10%,6.35
https://www.the-anchor.pub/staines-pub,1,1625,0.06%,10.41
https://www.the-anchor.pub/drinks,1,1263,0.08%,8.56
https://www.the-anchor.pub/pizza-tuesday,1,703,0.14%,14.09
https://www.the-anchor.pub/blog/cheap-heathrow-parking-alternatives,1,471,0.21%,23.04
https://www.the-anchor.pub/corporate-events,1,373,0.27%,53.87
https://www.the-anchor.pub/near-heathrow/terminal-4,1,268,0.37%,15.43
https://www.the-anchor.pub/blog/euro-2024-viewing,1,224,0.45%,8.58
https://www.the-anchor.pub/windsor-pub,1,193,0.52%,7.57
https://www.the-anchor.pub/quiz-night,1,118,0.85%,7.99
https://www.the-anchor.pub/blog/a-personal-pub-for-personal-celebrations,1,91,1.10%,17.24
https://www.the-anchor.pub/ashford-pub,1,83,1.20%,11.83
https://www.the-anchor.pub/whats-on/drag-shows,1,53,1.89%,8.26
https://www.the-anchor.pub/blog/dog-travel-tips,1,46,2.17%,10.78
https://www.the-anchor.pub/blog/british-pie-week-2024,1,37,2.70%,10.35
https://www.the-anchor.pub/blog/monthly-cash-bingo,1,34,2.94%,37.18
https://www.the-anchor.pub/heathrow-layover-dining,1,23,4.35%,6.7
https://www.the-anchor.pub/blog/charity-walk-holly,1,21,4.76%,17.67
https://www.the-anchor.pub/blog/day-of-the-dead-halloween-party-costumes-dance-and,1,10,10%,8.1
https://www.the-anchor.pub/blog/tag/irish,1,9,11.11%,5.56
https://www.the-anchor.pub/blog/tag/jobs,1,8,12.50%,9.12
https://www.the-anchor.pub/blog/tag/sunday-roast,1,5,20%,3
https://www.the-anchor.pub/blog/tag/remote-work,1,2,50%,11.5
https://www.the-anchor.pub/blog/tag/promotion,1,1,100%,91
https://www.the-anchor.pub/blog,0,813,0%,7.06
