Top queries,Clicks,Impressions,CTR,Position
the anchor stanwell moor,109,309,35.28%,1.07
the anchor,35,598,5.85%,13.88
the anchor staines,34,127,26.77%,1.02
the anchor heathrow,34,103,33.01%,1.22
anchor stanwell moor,12,29,41.38%,1
the anchor pub,11,1398,0.79%,8.04
best fish and chips near heathrow airport,8,64,12.5%,5.09
sunday roast near heathrow airport,8,59,13.56%,3.76
sunday roast heathrow airport,8,52,15.38%,4.71
the anchor pub stanwell moor,8,48,16.67%,1
anchor pub,5,415,1.2%,10.1
pubs near heathrow terminal 5,5,119,4.2%,9.12
the anchor staines menu,5,23,21.74%,1.87
the anchor pub heathrow,5,21,23.81%,1
the anchor stanwell,5,11,45.45%,1
fish and chips near heathrow airport,4,70,5.71%,5.16
roast dinner near me,4,57,7.02%,15.04
pubs near me,3,168,1.79%,16.02
heathrow plane spotting locations,3,62,4.84%,13.47
pubs near heathrow terminal 3,3,49,6.12%,7.73
pub near heathrow to watch planes,3,8,37.5%,3
pubs near heathrow,2,130,1.54%,11.65
sunday roast near me,2,90,2.22%,12.7
pub near me,2,43,4.65%,14.65
country pubs near heathrow airport,2,23,8.7%,10.7
christmas party pub staines,1,484,0.21%,4.68
restaurants near me,1,181,0.55%,19.65
pubs in stanwell,1,146,0.68%,4.95
food near me,1,118,0.85%,13.87
heathrow fish and chips,1,87,1.15%,8.38
sunday roast staines,1,55,1.82%,11.76
the anchor pub menu,1,43,2.33%,5.23
2 for tuesday,1,39,2.56%,9.31
restaurants staines,1,36,2.78%,60.5
the anchor sunday roast,1,31,3.23%,8.9
anchor quiz,1,29,3.45%,7.52
the anchor sunday menu,1,28,3.57%,6.39
roast near me,1,28,3.57%,19.18
restaurant near me,1,27,3.7%,25.67
sunday lunch near me,1,22,4.55%,13.23
places to eat near heathrow terminal 5,1,22,4.55%,34.55
pubs heathrow,1,20,5%,6.15
christmas dinner near me,1,19,5.26%,15.58
pub food near me,1,17,5.88%,23.65
restaurants near heathrow terminal 5,1,12,8.33%,30.75
the anchor events,1,11,9.09%,3.27
pubs with food near me,1,11,9.09%,15.64
christmas day dinner near me,1,10,10%,19.1
private dining near me,1,8,12.5%,25.12
stanwell parking,1,6,16.67%,7.5
christmas lunch near me,1,6,16.67%,12
restaurants near heathrow,1,6,16.67%,27.83
karaoke near me,1,5,20%,21
pub near me with food,1,4,25%,1
sunday roast near me open now,1,4,25%,3.5
pub,1,4,25%,10.25
best sunday roast near me open now,1,3,33.33%,5.33
pubs near.me,1,3,33.33%,11.33
christmas day dinners near me,1,3,33.33%,28.33
restaurants near heathrow terminal 4,1,3,33.33%,28.33
xmas dinner 2025 near me,1,2,50%,2.5
the anchor food,1,2,50%,4.5
pubs with music near me,1,2,50%,8.5
best christmas lunch near me,1,2,50%,9
nice pubs,1,2,50%,27.5
christmas parties 2025 near me,1,1,100%,1
top rated sunday roast,1,1,100%,1
christmas dinner london pub,1,1,100%,2
pub grub,1,1,100%,2
pubs egham,1,1,100%,2
pubs near me sunday roast,1,1,100%,2
pubs west drayton,1,1,100%,2
restaurants near here,1,1,100%,2
sunday roast delivery near me,1,1,100%,2
specials at papa murphy's today,1,1,100%,3
heathrow terminal 2 short stay parking,1,1,100%,6
pubs that are open on christmas day,1,1,100%,7
british pub food menu staines,0,693,0%,11
sunday roasts staines,0,456,0%,10.96
junction 14 m25,0,316,0%,8.92
pubs with private rooms in staines,0,297,0%,10.81
traditional english pubs staines,0,275,0%,10.45
popular shots,0,261,0%,1
pubs heathrow terminal 3,0,258,0%,8.89
m25 junction 14,0,242,0%,10.15
tuesday pizza deals,0,224,0%,16.11
pubs for wedding receptions in staines,0,223,0%,9.77
autumn rugby internationals 2024,0,218,0%,42.36
two for tuesday deals,0,188,0%,31.3
bushmills,0,183,0%,66.41
heathrow terminal 5 pub,0,177,0%,11.68
bushmills whiskey,0,170,0%,66.11
pubs near heathrow airport,0,167,0%,23.51
disaronno,0,162,0%,59.41
t5 restaurants,0,157,0%,48.39
corporate events near heathrow terminal 5,0,124,0%,6.45
autumn internationals 2024,0,121,0%,50.7
the anchor london,0,120,0%,30.07
heathrow t5 restaurants,0,119,0%,43.83
fish and chips heathrow airport,0,118,0%,8.49
heathrow terminal 3 pubs,0,118,0%,11
pub near heathrow,0,116,0%,8.74
kids parties heathrow,0,105,0%,16.34
pub heathrow,0,103,0%,22.74
meetings and event heathrow,0,98,0%,69.67
heathrow pub,0,97,0%,8.63
book venue near heathrow,0,97,0%,49.37
venues for hire staines,0,94,0%,35.47
christmas parties staines,0,93,0%,7.7
celebrate space at heathrow,0,91,0%,39.55
urban pizza stanwell moor,0,88,0%,7.92
bushmills whisky,0,86,0%,81.71
christmas party in staines,0,78,0%,7.94
tuesday takeaway deals,0,78,0%,28.49
rugby autumn internationals 2024,0,78,0%,45.35
heathrow terminal 3 pub,0,76,0%,10.46
heathrow pubs,0,73,0%,8.36
christmas party in heathrow,0,73,0%,27.4
team building heathrow,0,73,0%,52.99
festive decoration anchor testing,0,72,0%,66.15
november internationals,0,71,0%,72.01
venues for hire heathrow,0,69,0%,39.74
christmas party venues heathrow,0,67,0%,21.13
bushmills irish whiskey,0,67,0%,52.87
heathrow airport fish and chips,0,64,0%,10.17
fish and chips heathrow,0,63,0%,6.27
tuesday special pizza,0,63,0%,7.68
heathrow terminal 2 pubs,0,63,0%,12.68
watch rugby autumn internationals,0,63,0%,71.84
pubs near heathrow terminal 4,0,62,0%,9.9
the anchor menu,0,62,0%,11.95
book space near heathrow,0,61,0%,75.93
pancakes in feltham,0,58,0%,31.45
pizza deals bedfont,0,57,0%,21.39
tw19 6aq,0,56,0%,4.89
feltham pub,0,56,0%,11.34
pubs in staines town centre,0,55,0%,11.67
boardroom heathrow,0,55,0%,72.84
el pico cabernet sauvignon,0,53,0%,9.92
pub heathrow terminal 5,0,53,0%,10.81
pubs in staines,0,53,0%,29.17
best fish and chips heathrow airport,0,52,0%,7.37
italian liqueurs,0,51,0%,1
christmas parties heathrow,0,51,0%,11.84
staines restaurants,0,51,0%,58.04
fish and chips heathrow airport terminal 5,0,49,0%,11.31
iconic pubs to visit in staines,0,48,0%,27.44
venue hire near heathrow,0,48,0%,34.5
lhr parking long stay,0,48,0%,61.04
anchor pub london,0,46,0%,49.7
what is disaronno,0,45,0%,53.42
common shots,0,44,0%,1
dia de los muertos symbols,0,44,0%,1
where is junction 14 on m25,0,44,0%,9.39
pubs with beer gardens in staines,0,44,0%,49.84
restaurants in staines,0,44,0%,57.66
heathrow spotting guide,0,43,0%,9.23
anchor offers,0,43,0%,64.05
british beer brands,0,42,0%,1
most popular shots,0,42,0%,1
