Top pages,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
https://www.the-anchor.pub/,467,140,11567,8915,4.04%,1.57%,12.06,21.19
https://www.the-anchor.pub/beer-garden,133,68,2173,1062,6.12%,6.4%,7.22,9.22
https://www.the-anchor.pub/sunday-lunch,78,41,1581,1611,4.93%,2.55%,6.2,13.9
https://the-anchor.pub/,75,215,1057,5343,7.1%,4.02%,15.05,16.69
https://www.the-anchor.pub/food-menu,51,18,5603,3919,0.91%,0.46%,8.64,10.04
https://www.the-anchor.pub/blog/fish-chips-guide,34,23,2708,1987,1.26%,1.16%,8.58,14.75
https://www.the-anchor.pub/christmas-parties,30,3,2130,745,1.41%,0.4%,10.77,26.92
https://www.the-anchor.pub/near-heathrow/terminal-5,27,6,2680,1423,1.01%,0.42%,15.43,25.39
https://www.the-anchor.pub/blog/ultimate-guide-to-traveling-as-a-digital-nomad-wit,23,6,529,190,4.35%,3.16%,13.02,31.31
https://www.the-anchor.pub/blog/best-sunday-roast-near-heathrow,21,0,454,0,4.63%,0%,7.6,0
https://www.the-anchor.pub/plane-spotting-heathrow,19,0,1391,0,1.37%,0%,10.08,0
https://www.the-anchor.pub/whats-on,18,10,4176,3125,0.43%,0.32%,7.53,8.45
https://www.the-anchor.pub/heathrow-parking,18,0,3250,0,0.55%,0%,30.08,0
https://www.the-anchor.pub/near-heathrow/terminal-2,18,11,1587,874,1.13%,1.26%,19.17,27.72
https://www.the-anchor.pub/near-heathrow,12,12,1186,931,1.01%,1.29%,11.06,18.5
https://www.the-anchor.pub/blog/diwali-celebration,12,1,155,31,7.74%,3.23%,10.37,19.97
https://www.the-anchor.pub/find-us,9,11,4040,5346,0.22%,0.21%,7.37,13.08
https://www.the-anchor.pub/near-heathrow/terminal-3,9,8,1796,916,0.5%,0.87%,12.62,20.44
https://www.the-anchor.pub/blog/christmas-events,9,2,840,277,1.07%,0.72%,8.13,49.56
https://www.the-anchor.pub/windsor-pub,9,2,535,257,1.68%,0.78%,9.13,25.03
https://www.the-anchor.pub/quiz-night,9,0,407,0,2.21%,0%,7.9,0
https://www.the-anchor.pub/function-room-hire,8,12,575,811,1.39%,1.48%,32.01,29.03
https://www.the-anchor.pub/m25-junction-14-pub,7,7,1794,435,0.39%,1.61%,8.63,13.28
https://www.the-anchor.pub/near-heathrow/terminal-4,7,2,901,446,0.78%,0.45%,15.6,20.04
https://www.the-anchor.pub/events/pub-quiz-night-2025-12-10,7,0,180,0,3.89%,0%,5.89,0
https://the-anchor.pub/food-menu,6,11,356,1262,1.69%,0.87%,5.01,5.88
https://www.the-anchor.pub/blog/cheap-heathrow-parking-alternatives,5,0,1196,0,0.42%,0%,24.53,0
https://www.the-anchor.pub/feltham-pub,5,1,539,413,0.93%,0.24%,10.24,18.26
https://www.the-anchor.pub/book-event,5,2,415,161,1.2%,1.24%,31.98,18.84
https://www.the-anchor.pub/drinks,4,2,3740,3243,0.11%,0.06%,8.83,15.3
https://www.the-anchor.pub/blog/inches-apple-cider,4,3,902,371,0.44%,0.81%,5.82,12.96
