Top queries,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
the anchor stanwell moor,110,96,307,307,35.83%,31.27%,1.2,1.22
the anchor heathrow,39,6,111,34,35.14%,17.65%,1.58,1.18
the anchor staines,33,26,141,109,23.4%,23.85%,1.04,1.18
the anchor,30,27,470,748,6.38%,3.61%,12.52,21.27
the anchor pub,16,8,1386,1474,1.15%,0.54%,7.54,9.9
sunday roast near heathrow airport,11,0,59,13,18.64%,0%,3.53,4.15
sunday roast heathrow airport,8,2,55,15,14.55%,13.33%,3.71,6.13
anchor stanwell moor,8,8,18,28,44.44%,28.57%,1,1.25
best fish and chips near heathrow airport,7,3,64,55,10.94%,5.45%,4.84,7.11
the anchor pub stanwell moor,7,2,42,7,16.67%,28.57%,1.02,1
the anchor pub heathrow,7,0,24,0,29.17%,0%,1,0
the anchor staines menu,7,1,23,7,30.43%,14.29%,1.87,1.86
anchor pub,5,4,460,690,1.09%,0.58%,9.21,11.71
the anchor stanwell,5,3,11,10,45.45%,30%,1,1
pubs near heathrow,3,1,180,71,1.67%,1.41%,10.14,19.03
heathrow plane spotting locations,3,0,67,1,4.48%,0%,13.04,61
roast dinner near me,3,1,64,45,4.69%,2.22%,15.2,15.53
fish and chips near heathrow airport,3,3,61,73,4.92%,4.11%,4.7,7.38
m25 junction 14,2,0,322,10,0.62%,0%,9.83,11.1
pubs near me,2,4,133,254,1.5%,1.57%,17.35,14.37
pubs near heathrow terminal 5,2,5,73,106,2.74%,4.72%,7.19,10.94
sunday roast near me,2,4,73,106,2.74%,3.77%,14.01,14.9
pubs near heathrow terminal 3,2,1,35,41,5.71%,2.44%,7.26,11.85
christmas party pub staines,1,0,514,80,0.19%,0%,5.86,12.15
restaurants near me,1,1,146,238,0.68%,0.42%,22.16,13.3
heathrow pub,1,0,94,36,1.06%,0%,8.47,16.31
heathrow fish and chips,1,0,84,51,1.19%,0%,8.27,9.98
sunday roast staines,1,0,69,2,1.45%,0%,11.68,18
